estado,mediana_ingreso_hogares,pct_desocupados,pct_reside_area_metro,pct_secundaria_completa,pct_no_ciudadanos,pct_pobreza_blancos,indice_gini,pct_no_blancos,pct_votantes_trump,crimenes_odio_100k_splc,crimenes_odio_prom_100k_fbi
Alabama,42.278,0.06,0.64,0.821,0.02,0.12,0.472,0.35,0.63,0.125838926,1.806410489
Alaska,67.629,0.064,0.63,0.914,0.04,0.06,0.422,0.42,0.53,0.143740118,1.656700109
Arizona,49.254,0.063,0.9,0.842,0.1,0.09,0.455,0.49,0.5,0.225319954,3.413927994
Arkansas,44.922,0.052,0.69,0.824,0.04,0.12,0.458,0.26,0.6,0.069060773,0.869208872
California,60.487,0.059,0.97,0.806,0.13,0.09,0.471,0.61,0.33,0.255805361,2.397985899
Colorado,60.94,0.04,0.8,0.893,0.06,0.07,0.457,0.31,0.44,0.390523301,2.804688765
Connecticut,70.161,0.052,0.94,0.886,0.06,0.06,0.486,0.3,0.41,0.335392269,3.772701469
Delaware,57.522,0.049,0.9,0.874,0.05,0.08,0.44,0.37,0.42,0.322754169,1.469979563
District of Columbia,68.277,0.067,1,0.871,0.11,0.04,0.532,0.63,0.04,1.52230172,10.95347971
Florida,46.14,0.052,0.96,0.853,0.09,0.11,0.474,0.46,0.49,0.187521223,0.698070342
Georgia,49.555,0.058,0.82,0.839,0.08,0.09,0.468,0.48,0.51,0.120420267,0.412011824
Hawaii,71.223,0.034,0.76,0.904,0.08,0.07,0.433,0.81,0.3,NA,NA
Idaho,53.438,0.042,0.7,0.884,0.04,0.11,0.433,0.16,0.59,0.124208173,1.891330529
Illinois,54.916,0.054,0.9,0.864,0.07,0.07,0.465,0.37,0.39,0.195344549,1.044015798
Indiana,48.06,0.044,0.79,0.866,0.03,0.12,0.44,0.2,0.57,0.247008877,1.757356567
Iowa,57.81,0.036,0.6,0.914,0.03,0.09,0.427,0.15,0.52,0.454427421,0.561395565
Kansas,53.444,0.044,0.64,0.897,0.04,0.11,0.445,0.25,0.57,0.105152471,2.143986672
Kentucky,42.786,0.05,0.56,0.817,0.03,0.17,0.466,0.15,0.63,0.324396969,4.207889621
Louisiana,42.406,0.06,0.81,0.822,0.02,0.12,0.475,0.42,0.58,0.109733348,1.341169554
Maine,51.71,0.044,0.54,0.902,NA,0.12,0.437,0.09,0.45,0.615574023,2.626610924
Maryland,76.165,0.051,0.97,0.89,0.08,0.06,0.443,0.5,0.35,0.37043897,1.324839538
Massachusetts,63.151,0.046,0.97,0.89,0.09,0.08,0.475,0.27,0.34,0.630810592,4.801899339
Michigan,52.005,0.05,0.87,0.879,0.04,0.09,0.451,0.24,0.48,0.403779375,3.200442266
Minnesota,67.244,0.038,0.75,0.915,0.05,0.05,0.44,0.18,0.45,0.62747993,3.612411816
Mississippi,35.521,0.061,0.45,0.804,NA,0.14,0.468,0.44,0.58,0.067446801,0.622745989
Missouri,56.63,0.053,0.78,0.868,0.02,0.07,0.455,0.2,0.57,0.18452351,1.908954989
Montana,51.102,0.041,0.34,0.908,0.01,0.1,0.435,0.1,0.57,0.495491032,2.954959378
Nebraska,56.87,0.029,0.6,0.898,0.05,0.07,0.432,0.21,0.6,0.159489633,2.68624842
Nevada,49.875,0.067,0.87,0.839,0.1,0.08,0.448,0.5,0.46,0.14167316,2.113990154
New Hampshire,73.397,0.034,0.63,0.913,0.03,0.06,0.425,0.09,0.47,0.151549595,2.105988585
New Jersey,65.243,0.056,1,0.874,0.11,0.07,0.464,0.44,0.42,0.078305908,4.413202591
New Mexico,46.686,0.068,0.69,0.828,0.06,0.1,0.464,0.62,0.4,0.294811321,1.886435184
New York,54.31,0.051,0.94,0.847,0.1,0.1,0.499,0.42,0.37,0.350620446,3.102164284
North Carolina,46.784,0.058,0.76,0.843,0.05,0.1,0.464,0.38,0.51,0.244006588,1.262679796
North Dakota,60.73,0.028,0.5,0.901,0.03,0.09,0.433,0.15,0.64,NA,4.741069885
Ohio,49.644,0.045,0.75,0.876,0.03,0.1,0.452,0.21,0.52,0.190713964,3.240420404
Oklahoma,47.199,0.044,0.59,0.856,0.04,0.1,0.454,0.35,0.65,0.133629099,1.08167215
Oregon,58.875,0.062,0.87,0.891,0.07,0.1,0.449,0.26,0.41,0.832849608,3.394886113
Pennsylvania,55.173,0.053,0.87,0.879,0.03,0.09,0.461,0.24,0.49,0.285101092,0.43092759
Rhode Island,58.633,0.054,1,0.847,0.08,0.08,0.467,0.28,0.4,0.095401641,1.282571834
South Carolina,44.929,0.057,0.79,0.836,0.03,0.09,0.461,0.36,0.55,0.209894423,1.937082833
South Dakota,53.053,0.035,0.51,0.899,NA,0.08,0.442,0.17,0.62,NA,3.301737127
Tennessee,43.716,0.057,0.82,0.831,0.04,0.13,0.468,0.27,0.61,0.19993848,3.13605115
Texas,53.875,0.042,0.92,0.799,0.11,0.08,0.469,0.56,0.53,0.213583938,0.752768305
Utah,63.383,0.036,0.82,0.904,0.04,0.08,0.419,0.19,0.47,0.136546733,2.384065044
Vermont,60.708,0.037,0.35,0.91,0.01,0.1,0.444,0.06,0.33,0.324149109,1.90308139
Virginia,66.155,0.043,0.89,0.866,0.06,0.07,0.459,0.38,0.45,0.363248898,1.724754584
Washington,59.068,0.052,0.86,0.897,0.08,0.09,0.441,0.31,0.38,0.67748765,3.817740296
West Virginia,39.552,0.073,0.55,0.828,0.01,0.14,0.451,0.07,0.69,0.328677075,2.037053631
Wisconsin,58.08,0.043,0.69,0.898,0.03,0.09,0.43,0.22,0.48,0.226197105,1.121944651
